City,Province,Year,Make,Model,Price,Mileage,URL
Sussex,NB,2016,Honda,Civic,16777,136000,facebook.com/marketplace/item/834601531421503/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Shediac,NB,2017,Honda,Civic,24000,138000,facebook.com/marketplace/item/192129936942166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Balmoral,NB,2018,Honda,Civic,13900,175000,facebook.com/marketplace/item/294296019846936/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Halifax,NS,2008,Honda,Civic,8475,176000,facebook.com/marketplace/item/980612973081374/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Charlottetown,PE,2016,Honda,Civic,16995,175000,facebook.com/marketplace/item/565499695587166/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Sherbrooke,QC,2004,Honda,Civic,2500,144000,facebook.com/marketplace/item/578241541178691/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Quebec,QC,2003,Honda,Civic,2000,200000,facebook.com/marketplace/item/3171320843177672/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Moncton,NB,2012,Honda,Civic,12499,102000,facebook.com/marketplace/item/102142202961419/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Amherst,NS,2012,Honda,Civic,8800,183000,facebook.com/marketplace/item/649520733903172/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Charlottetown,PE,2008,Honda,Civic,6800,175000,facebook.com/marketplace/item/318765613909783/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Saint John,NB,2015,Honda,Civic,17650,114000,facebook.com/marketplace/item/588410313496781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Quebec,QC,2009,Honda,Civic,5250,183000,facebook.com/marketplace/item/147389378340403/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Saint John,NB,2012,Honda,Civic,12499,101000,facebook.com/marketplace/item/995952164865567/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Halifax,NS,2010,Honda,Civic,6990,197000,facebook.com/marketplace/item/1475916109821523/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Sept-Iles,QC,2013,Honda,Civic,10988,125000,facebook.com/marketplace/item/262627236476856/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Halifax,NS,2018,Honda,Civic,24877,75000,facebook.com/marketplace/item/935384377561619/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Baie-Comeau,QC,2009,Honda,Civic,3000,195000,facebook.com/marketplace/item/801747144817086/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Queens,PE,2020,Honda,Civic,29988,77000,facebook.com/marketplace/item/825488139189972/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ste-Marie,QC,2020,Honda,Civic,25995,77000,facebook.com/marketplace/item/979414636626076/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Sherbrooke,QC,2015,Honda,Civic,14900,163000,facebook.com/marketplace/item/976821823552096/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Levis,QC,2019,Honda,Civic,22437,59000,facebook.com/marketplace/item/238694842419937/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Dollard-des Ormeaux,QC,2009,Honda,Civic,3800,180000,facebook.com/marketplace/item/3434800386786067/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2008,Honda,Civic,6500,130000,facebook.com/marketplace/item/298120665954556/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2010,Honda,Civic,7400,147000,facebook.com/marketplace/item/211181461539787/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Terrebonne,QC,2008,Honda,Civic,4450,167000,facebook.com/marketplace/item/882783393233328/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,Civic,17000,86000,facebook.com/marketplace/item/1130256331266066/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,Civic,15000,100000,facebook.com/marketplace/item/147799331674781/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2011,Honda,Civic,6900,150000,facebook.com/marketplace/item/209357755424940/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2014,Honda,Civic,15000,108000,facebook.com/marketplace/item/194664846912579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Blainville,QC,2014,Honda,Civic,12800,160000,facebook.com/marketplace/item/248525394704641/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2002,Honda,Civic,2800,169000,facebook.com/marketplace/item/247816744696751/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2014,Honda,Civic,12990,169000,facebook.com/marketplace/item/666636324944576/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
St-Eustache,QC,2009,Honda,Civic,6995,156000,facebook.com/marketplace/item/809629523883710/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2009,Honda,Civic,6700,174000,facebook.com/marketplace/item/1285434088754586/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,Civic,13500,137000,facebook.com/marketplace/item/226679103667146/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2017,Honda,Civic,16500,157000,facebook.com/marketplace/item/243255268562401/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2008,Honda,Civic,5300,171000,facebook.com/marketplace/item/805551947820416/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2017,Honda,Civic,14900,57000,facebook.com/marketplace/item/929577811479492/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2009,Honda,Civic,7450,115000,facebook.com/marketplace/item/738964434704718/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2007,Honda,Civic,4200,178000,facebook.com/marketplace/item/1082774339360171/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Dorval,QC,2015,Honda,Civic,16495,93000,facebook.com/marketplace/item/661699769185664/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Longueuil,QC,2017,Honda,Civic,21000,132000,facebook.com/marketplace/item/141617468962550/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brossard,QC,2000,Honda,Civic,5000,164000,facebook.com/marketplace/item/3543562105890364/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,Civic,9000,192000,facebook.com/marketplace/item/204985415875944/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,Civic,9999,152000,facebook.com/marketplace/item/1448050822626046/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2012,Honda,Civic,11250,153000,facebook.com/marketplace/item/3660144394217921/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,2500,174000,facebook.com/marketplace/item/818141603255597/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,4800,174000,facebook.com/marketplace/item/821073109589248/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2010,Honda,Civic,5500,170000,facebook.com/marketplace/item/6649118958443466/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2012,Honda,Civic,9000,144000,facebook.com/marketplace/item/251747374289078/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Salaberry-de-Valleyfield,QC,2009,Honda,Civic,7500,164000,facebook.com/marketplace/item/1014835059549418/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Dollard-des Ormeaux,QC,2005,Honda,Civic,2800,175000,facebook.com/marketplace/item/1504202543444832/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2014,Honda,Civic,10999,169000,facebook.com/marketplace/item/1627820934370098/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brossard,QC,2008,Honda,Civic,7991,150000,facebook.com/marketplace/item/1038590747106496/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mirabel,QC,2009,Honda,Civic,6995,136000,facebook.com/marketplace/item/1258771028176831/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,5200,200000,facebook.com/marketplace/item/1485333388963236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2007,Honda,Civic,3999,166000,facebook.com/marketplace/item/820087409419122/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
