City,Province,Year,Make,Model,Price,Mileage,URL,Description,Rebuilt_Predicted
Salisbury Parish,NB,2003,Honda,Civic,1200,127000,facebook.com/marketplace/item/3585311225073988/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,No rust no micanical issues inspected till feb 2024 has ac and winter tirrs on rims  ,0
Dieppe,NB,2017,Honda,Civic,22000,139000,facebook.com/marketplace/item/776450681149897/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2017 Honda civic hatchback LX  A/C New brakes 2 year MVI Heated seats Backup camera Winter tires on rims ,0
Dieppe,NB,2015,Honda,Civic,14000,170000,facebook.com/marketplace/item/3549035535373825/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,***PREFERABLY TRADES***(would want something standard)  RTX rims  New tires Stock engine  Godspeed coilovers Hood spacers Sun strip Everything's in great condition(like new) ,0
Riverview,NB,2019,Honda,Civic,24999,61000,facebook.com/marketplace/item/255560547337016/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"2019 Honda Civic EX Great fuel efficient car, drives great and has recently new tires.  Comes with a newly installed hitch.  Reason for selling is we want to get an SUV.  No Trades. ",0
Moncton,NB,2018,Honda,Civic,20495,149000,facebook.com/marketplace/item/263120729766969/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"LOADED CIVIC EX! One year warranty at no cost, all applicants accepted! Apply below    http://zakthecarrobot.com/apply-today  2018 Honda Civic EX   2.0l 4 Cylinder - Automatic   Featuring;  - Heated Seats  - Sunroof  - Honda Safety, Adaptive Cruise Control  - Apple CarPlay/Android Auto  - Push to Start  And more  Financing available at $94/weekly!  Delivery available across the maritimes  Priced at $20,495!  ",0
Moncton,NB,2012,Honda,Civic,15500,134000,facebook.com/marketplace/item/779343983975684/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"This car is like new, Low KMs for a 2012 Civic. I am selling the car for the purpose of upgrading to something newer. Please feel free to reach out if you have any questions at all about the car.  ",0
Montreal,QC,2013,Honda,Civic,10900,173000,facebook.com/marketplace/item/253793070757077/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"Honda civic ,Leather, back up camera .automatic . Sunroof, a/c, all electric , mags summer tires . Serious person only . ",0
Montreal,QC,2014,Honda,Civic,10300,186000,facebook.com/marketplace/item/951982922764915/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Call it for more information,0
Montreal,QC,2007,Honda,Civic,3500,179000,facebook.com/marketplace/item/3580459785546139/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Honda Civic 2007 Automatic very clean.With 4 winter tires and 4 summer tires.,0
Montreal,QC,2013,Honda,Civic,3000,128000,facebook.com/marketplace/item/1005321367467100/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"I put my Honda Civic car for sale Excellent condition 2013 at $ 3,000.She is not accident.SUMMER AND WINER TIRES Available.It has no mechanical problem and there is no repairs to be made.",0
Laval,QC,2009,Honda,Civic,5900,181000,facebook.com/marketplace/item/1658539424588689/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Honda Civic 2009 Automatic with 180km Full Automatic Glass Glass Electric Mirror Do not rust on the car protective hood possible of winter tires,0
Montreal,QC,2016,Honda,Civic,19000,160000,facebook.com/marketplace/item/239433285593528/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Honda Civic 2016   Motor 1.4 turbo Full equipo  Camara  trasera y camara punto ciego  2 llaves  Llanta de invierno y verano nuevas  Techo solar  Honda Civic 2016  1.4 turbo engine Full equipment Rear camera and blind spot camera 2 keys New winter and summer tires Sunroof ,0
Montreal,QC,2017,Honda,Civic,15000,85000,facebook.com/marketplace/item/191981897189228/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"Super clean car, 2017 Honda Civic 4DR CVT Ex, automatic, 85mile kilometers, nothing to provide for who luck, 15mille",0
Longueuil,QC,2012,Honda,Civic,9850,148000,facebook.com/marketplace/item/104580996065838/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,HONDA CIVIC 2012 4 DOORS Clean Automatic Milage 148 335 Fuel Economy Mode or Performance -Cruise Control Bluetooth -Comandes Centralized and Remote Doors -Air conditioning Warnings well -C CD -Electric and Heating -Viters -Electrique -Electrical PortOn original mags winter tires on rhyme maintenance up to date for the road,0
Montreal,QC,2007,Honda,Civic,4500,169000,facebook.com/marketplace/item/290639640213073/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Hello I sell honda civic transmission a1 engine a1 rolls very well with 169000km thank you,0
Laval,QC,2017,Honda,Civic,17995,171000,facebook.com/marketplace/item/1681355909008429/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Banking funding available on site (1st-2iem Chance) Pre-approval without credit investigation in less than 20 minutes.Real house funding (10% interest) also available on site.No credit file refuses.Possibility of rebuilding the credit I am an automotive trader Company: 9360-2456 Quebec inc.Located in Laval Tel 438*923*2796 ID: 964003 ID: 964003 Inventory published with the help of Marketplace Boost de Drivegood,0
Montreal,QC,2016,Honda,Civic,16400,135000,facebook.com/marketplace/item/813392293472776/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Civic 2016 135kilo Nothing to do on it Rolle like a new one comes with Dete and Dhiver tire,0
Montreal,QC,2010,Honda,Civic,5999,160000,facebook.com/marketplace/item/1289558495014561/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,No mechanical problem the car rolls very well,0
Montreal,QC,2007,Honda,Civic,3650,185000,facebook.com/marketplace/item/809386333897837/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"Honda Civic Automatic 185,000 km!Very reliable car is Economic, speeding up, all highomatic, frien made in january",0
Montreal,QC,2016,Honda,Civic,10500,192000,facebook.com/marketplace/item/1072081987114563/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"READ AD.   COUPE, 2 door. NOT NEGOTIABLE. 192,000 kms. Runs well. Fully loaded. Air conditioning. Heated seats, Bluetooth, etc. No mechanical issues. Automatic transmission.   QUICK SALE NEEDED. Not a dealer. PRIVATE SALE.  ",0
Laval,QC,2009,Honda,Civic,6500,144000,facebook.com/marketplace/item/720273783444577/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"2009 Honda Civic LXS Sport Automatic 5 Speed Cruise Control A/C 4 Portes 5 Places 1.8L 4 CYLINDERS OUR ROOD ROAD TRUS HEATING TRUMMENT SELECTION HEATING FURN A1 MECHANICS A1 Very reliable tires in good interior and exterior condition clean group Full Electric Group Handwashes in Horses En HersGood condition mileage: 144,000 miles air air conditioning does not work require: $ 6,500 Negotiable I accept Echange 438*951*7010 LOVE A TERREBONNE Laval Concessionaire: S.D.G AUTO",0
Longueuil,QC,2016,Honda,Civic,23990,80000,facebook.com/marketplace/item/6758024204231755/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,nan,0
Longueuil,QC,2017,Honda,Civic,21000,101000,facebook.com/marketplace/item/547747707432529/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,nan,0
Montreal,QC,2008,Honda,Civic,4995,159000,facebook.com/marketplace/item/3254056658230013/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"Four summer tires on Honda Mags Four winter tires on Rims Demarreur Air Air Air Climate works Pas Chek Engine Oxygen Sensor L, Auto is rebuilt I photos before repair just the Pumber before",1
Montreal,QC,2008,Honda,Civic,6299,160000,facebook.com/marketplace/item/975726273579406/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"In a great condition. It's fuel efficient, stylish, and fun to drive. Cruise control. New Brakes and Alloys. Comes with a sunroof for summer drive.  ",0
Montreal,QC,2011,Honda,Civic,7500,160000,facebook.com/marketplace/item/132262003258437/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Good car in good condition negotiable  ,0
Montreal,QC,2019,Honda,Civic,17950,119000,facebook.com/marketplace/item/9671371072904445/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,Honda Civic Sport 2019 Automatic-119000km Electric Group Group Gunning Mags 18 p Camera Demareur Remote Remote Rebuild,0
